fwer,sensitivity,sm_sigma,snr,n,method
0.0,0.0,0.1,0.1,5,voxelwise_rft
0.0,0.0,0.1,0.25,5,voxelwise_rft
0.0,0.0,0.1,0.5,5,voxelwise_rft
0.0,0.0004424778761061947,0.1,0.75,5,voxelwise_rft
0.0,0.0,0.1,1.0,5,voxelwise_rft
0.0,0.0004424778761061947,0.1,1.25,5,voxelwise_rft
0.0,0.0,0.1,1.5,5,voxelwise_rft
0.0,0.0,0.1,1.75,5,voxelwise_rft
0.0,0.0004424778761061947,0.1,2.0,5,voxelwise_rft
0.0,0.0004424778761061947,0.1,2.25,5,voxelwise_rft
0.05,0.03938053097345133,0.1,2.5,5,voxelwise_rft
0.0,0.0017699115044247787,0.1,2.75,5,voxelwise_rft
0.0,0.0022123893805309734,0.1,3.0,5,voxelwise_rft
0.0,0.0,0.25,0.0,5,voxelwise_rft
0.05,0.0,0.25,0.1,5,voxelwise_rft
0.1,0.0,0.25,0.25,5,voxelwise_rft
0.05,0.0,0.25,0.5,5,voxelwise_rft
0.1,0.0,0.25,0.75,5,voxelwise_rft
0.05,0.0,0.25,1.0,5,voxelwise_rft
0.1,0.0,0.25,1.25,5,voxelwise_rft
0.0,0.0,0.25,1.5,5,voxelwise_rft
0.05,0.0016778523489932886,0.25,1.75,5,voxelwise_rft
0.0,0.0,0.25,2.0,5,voxelwise_rft
0.0,0.0003355704697986577,0.25,2.25,5,voxelwise_rft
0.0,0.001006711409395973,0.25,2.5,5,voxelwise_rft
0.0,0.0,0.25,2.75,5,voxelwise_rft
0.0,0.0006711409395973154,0.25,3.0,5,voxelwise_rft
0.0,0.0,0.5,0.0,5,voxelwise_rft
0.1,0.0,0.5,0.1,5,voxelwise_rft
0.05,0.0,0.5,0.25,5,voxelwise_rft
0.0,0.0,0.5,0.5,5,voxelwise_rft
0.05,0.0,0.5,0.75,5,voxelwise_rft
0.0,0.00023474178403755868,0.5,1.0,5,voxelwise_rft
