,FWER,sensitivity,sm_sigma,snr,n_subj,method,threshold_u,FWHM
229,0.06999999999999995,,0.0,1.75,15,Clusterwise RFT,3.0,3.329170509204679
230,0.06999999999999995,,0.0,1.75,15,Clusterwise RFT,3.2,3.3305192651122226
231,0.19999999999999996,,0.0,1.75,20,Clusterwise RFT,2.6,3.331581151156012
232,0.06999999999999995,,0.0,1.75,20,Clusterwise RFT,3.0,3.333057651551324
233,0.06000000000000005,,0.0,1.75,20,Clusterwise RFT,3.2,3.3358662473989447
234,0.19999999999999996,,0.0,1.75,30,Clusterwise RFT,2.6,3.3330528158082764
235,0.07999999999999996,,0.0,1.75,30,Clusterwise RFT,3.0,3.326603717998188
236,0.010000000000000009,,0.0,1.75,30,Clusterwise RFT,3.2,3.3277399261520335
237,0.18000000000000005,,0.0,1.75,45,Clusterwise RFT,2.6,3.3312479097306427
238,0.06999999999999995,,0.0,1.75,45,Clusterwise RFT,3.0,3.332688095431422
239,0.040000000000000036,,0.0,1.75,45,Clusterwise RFT,3.2,3.3291464973826423
240,0.20999999999999996,,0.0,1.75,60,Clusterwise RFT,2.6,3.331879502233876
241,0.14,,0.0,1.75,60,Clusterwise RFT,3.0,3.32917323832785
242,0.040000000000000036,,0.0,1.75,60,Clusterwise RFT,3.2,3.334193207833281
243,0.0,,0.0,2.0,2,Clusterwise RFT,2.6,3.3451736850573472
244,0.0,,0.0,2.0,2,Clusterwise RFT,3.0,3.33469089454481
245,0.0,,0.0,2.0,2,Clusterwise RFT,3.2,3.296001852766488
246,0.17000000000000004,,0.0,2.0,5,Clusterwise RFT,2.6,3.3454387928681486
247,0.0,,0.0,2.0,5,Clusterwise RFT,3.0,3.337965445628445
248,0.0,,0.0,2.0,5,Clusterwise RFT,3.2,3.3305746241001737
249,0.24,,0.0,2.0,7,Clusterwise RFT,2.6,3.334413404505784
250,0.050000000000000044,,0.0,2.0,7,Clusterwise RFT,3.0,3.327568016795103
251,0.040000000000000036,,0.0,2.0,7,Clusterwise RFT,3.2,3.3547842001083352
252,0.25,,0.0,2.0,10,Clusterwise RFT,2.6,3.3303184954057095
253,0.08999999999999997,,0.0,2.0,10,Clusterwise RFT,3.0,3.3365733461989926
