fwer,sensitivity,sm_sigma,snr,n,method,u_crit
0.0213333333333333,0.0010737463126843,0.1,2.0,5,voxelwise_rft,4.503141791507842
0.024,0.0018053097345132,0.1,2.25,5,voxelwise_rft,4.503141791507842
0.0306666666666666,0.0026194690265486,0.1,2.5,5,voxelwise_rft,4.503141791507842
0.0226666666666666,0.0036578171091445,0.1,2.75,5,voxelwise_rft,4.503141791507842
0.0253333333333333,0.0046135693215339,0.1,3.0,5,voxelwise_rft,4.503141791507842
0.0293333333333333,0.0,0.25,0.0,5,voxelwise_rft,4.503541499391493
0.0253333333333333,0.0,0.25,0.1,5,voxelwise_rft,4.503541499391493
0.0306666666666666,3.579418344519015e-05,0.25,0.25,5,voxelwise_rft,4.503541499391493
0.0213333333333333,2.684563758389261e-05,0.25,0.5,5,voxelwise_rft,4.503541499391493
0.0266666666666666,5.369127516778523e-05,0.25,0.75,5,voxelwise_rft,4.503541499391493
0.0306666666666666,7.15883668903803e-05,0.25,1.0,5,voxelwise_rft,4.503541499391493
0.0226666666666666,0.0001073825503355,0.25,1.25,5,voxelwise_rft,4.503541499391493
0.0226666666666666,0.0003131991051454,0.25,1.5,5,voxelwise_rft,4.503541499391493
0.0226666666666666,0.0006085011185682,0.25,1.75,5,voxelwise_rft,4.503541499391493
0.028,0.0007785234899328,0.25,2.0,5,voxelwise_rft,4.503541499391493
0.0173333333333333,0.0013691275167785,0.25,2.25,5,voxelwise_rft,4.503541499391493
0.028,0.001986577181208,0.25,2.5,5,voxelwise_rft,4.503541499391493
0.0333333333333333,0.0029172259507829,0.25,2.75,5,voxelwise_rft,4.503541499391493
0.0253333333333333,0.0036957494407158,0.25,3.0,5,voxelwise_rft,4.503541499391493
0.0306666666666666,0.0,0.5,0.0,5,voxelwise_rft,4.483508419489315
0.036,6.259780907668232e-06,0.5,0.1,5,voxelwise_rft,4.483508419489315
0.024,1.2519561815336464e-05,0.5,0.25,5,voxelwise_rft,4.483508419489315
0.0346666666666666,2.5039123630672928e-05,0.5,0.5,5,voxelwise_rft,4.483508419489315
0.0253333333333333,0.000112676056338,0.5,0.75,5,voxelwise_rft,4.483508419489315
0.028,0.0002003129890453,0.5,1.0,5,voxelwise_rft,4.483508419489315
0.0266666666666666,0.0005446009389671,0.5,1.25,5,voxelwise_rft,4.483508419489315
0.0293333333333333,0.0009702660406885,0.5,1.5,5,voxelwise_rft,4.483508419489315
0.0213333333333333,0.0017527386541471,0.5,1.75,5,voxelwise_rft,4.483508419489315
0.028,0.002960876369327,0.5,2.0,5,voxelwise_rft,4.483508419489315
0.0333333333333333,0.0042566510172143,0.5,2.25,5,voxelwise_rft,4.483508419489315
0.0226666666666666,0.0061658841940532,0.5,2.5,5,voxelwise_rft,4.483508419489315
0.032,0.0084945226917057,0.5,2.75,5,voxelwise_rft,4.483508419489315
0.0266666666666666,0.012150234741784,0.5,3.0,5,voxelwise_rft,4.483508419489315
0.044,9.35672514619883e-06,0.75,0.0,5,voxelwise_rft,4.372337065985718
0.0506666666666666,4.678362573099415e-06,0.75,0.1,5,voxelwise_rft,4.372337065985718
0.0413333333333333,2.3391812865497078e-05,0.75,0.25,5,voxelwise_rft,4.372337065985718
0.032,0.0002245614035087,0.75,0.5,5,voxelwise_rft,4.372337065985718
0.04,0.0006269005847953,0.75,0.75,5,voxelwise_rft,4.372337065985718
0.0453333333333333,0.0016280701754385,0.75,1.0,5,voxelwise_rft,4.372337065985718
0.0426666666666666,0.0036163742690058,0.75,1.25,5,voxelwise_rft,4.372337065985718
0.0453333333333333,0.0067929824561403,0.75,1.5,5,voxelwise_rft,4.372337065985718
0.0413333333333333,0.0122292397660818,0.75,1.75,5,voxelwise_rft,4.372337065985718
0.0413333333333333,0.0195228070175438,0.75,2.0,5,voxelwise_rft,4.372337065985718
0.0506666666666666,0.0295766081871345,0.75,2.25,5,voxelwise_rft,4.372337065985718
0.0466666666666666,0.0413988304093567,0.75,2.5,5,voxelwise_rft,4.372337065985718
0.0453333333333333,0.0553824561403508,0.75,2.75,5,voxelwise_rft,4.372337065985718
0.048,0.0712280701754386,0.75,3.0,5,voxelwise_rft,4.372337065985718
0.0786666666666666,1.1461318051575932e-05,1.0,0.0,5,voxelwise_rft,4.265300681392814
0.0706666666666666,2.6743075453677172e-05,1.0,0.1,5,voxelwise_rft,4.265300681392814
0.0733333333333333,0.0001069723018147,1.0,0.25,5,voxelwise_rft,4.265300681392814
0.0946666666666666,0.0005004775549188,1.0,0.5,5,voxelwise_rft,4.265300681392814
0.084,0.0018949379178605,1.0,0.75,5,voxelwise_rft,4.265300681392814
0.0786666666666666,0.0054021012416427,1.0,1.0,5,voxelwise_rft,4.265300681392814
0.0853333333333333,0.012240687679083,1.0,1.25,5,voxelwise_rft,4.265300681392814
0.084,0.0214135625596943,1.0,1.5,5,voxelwise_rft,4.265300681392814
0.0773333333333333,0.0356867239732569,1.0,1.75,5,voxelwise_rft,4.265300681392814
0.08,0.0549073543457497,1.0,2.0,5,voxelwise_rft,4.265300681392814
0.0693333333333333,0.0768099331423113,1.0,2.25,5,voxelwise_rft,4.265300681392814
0.0893333333333333,0.1023992359121299,1.0,2.5,5,voxelwise_rft,4.265300681392814
0.064,0.1268920725883476,1.0,2.75,5,voxelwise_rft,4.265300681392814
0.0813333333333333,0.1542578796561604,1.0,3.0,5,voxelwise_rft,4.265300681392814
0.0986666666666666,2.797202797202797e-05,1.25,0.0,5,voxelwise_rft,4.172009557286839
0.1106666666666666,5.5944055944055945e-05,1.25,0.1,5,voxelwise_rft,4.172009557286839
0.1,0.0001087801087801,1.25,0.25,5,voxelwise_rft,4.172009557286839
0.1066666666666666,0.0011126651126651,1.25,0.5,5,voxelwise_rft,4.172009557286839
0.0986666666666666,0.0048982128982128,1.25,0.75,5,voxelwise_rft,4.172009557286839
0.1106666666666666,0.0122641802641802,1.25,1.0,5,voxelwise_rft,4.172009557286839
0.0893333333333333,0.0269277389277389,1.25,1.25,5,voxelwise_rft,4.172009557286839
0.1093333333333333,0.0466480186480186,1.25,1.5,5,voxelwise_rft,4.172009557286839
0.1,0.0707257187257187,1.25,1.75,5,voxelwise_rft,4.172009557286839
0.0986666666666666,0.0971903651903652,1.25,2.0,5,voxelwise_rft,4.172009557286839
0.1053333333333333,0.1246402486402486,1.25,2.25,5,voxelwise_rft,4.172009557286839
0.0906666666666666,0.152988344988345,1.25,2.5,5,voxelwise_rft,4.172009557286839
0.0946666666666666,0.1767024087024087,1.25,2.75,5,voxelwise_rft,4.172009557286839
0.1026666666666666,0.1970971250971251,1.25,3.0,5,voxelwise_rft,4.172009557286839
0.1413333333333333,3.92927308447937e-05,1.5,0.0,5,voxelwise_rft,4.089450185210059
0.1613333333333333,7.072691552062867e-05,1.5,0.1,5,voxelwise_rft,4.089450185210059
0.1453333333333333,0.0002436149312377,1.5,0.25,5,voxelwise_rft,4.089450185210059
0.1373333333333333,0.0021741977734119,1.5,0.5,5,voxelwise_rft,4.089450185210059
0.1426666666666666,0.0089901768172888,1.5,0.75,5,voxelwise_rft,4.089450185210059
0.1466666666666666,0.0228264571054355,1.5,1.0,5,voxelwise_rft,4.089450185210059
0.1413333333333333,0.0446155861165684,1.5,1.25,5,voxelwise_rft,4.089450185210059
0.1506666666666666,0.0724819908316961,1.5,1.5,5,voxelwise_rft,4.089450185210059
0.1333333333333333,0.1028893254747871,1.5,1.75,5,voxelwise_rft,4.089450185210059
0.148,0.1317982973149967,1.5,2.0,5,voxelwise_rft,4.089450185210059
0.144,0.1554446627373936,1.5,2.25,5,voxelwise_rft,4.089450185210059
0.1426666666666666,0.1772023575638507,1.5,2.5,5,voxelwise_rft,4.089450185210059
0.152,0.1939279633267845,1.5,2.75,5,voxelwise_rft,4.089450185210059
0.1453333333333333,0.2103601833660772,1.5,3.0,5,voxelwise_rft,4.089450185210059
0.1773333333333333,4.848484848484848e-05,1.75,0.0,5,voxelwise_rft,4.016539390431617
0.16,0.0001146005509641,1.75,0.1,5,voxelwise_rft,4.016539390431617
0.1693333333333333,0.0005046831955922,1.75,0.25,5,voxelwise_rft,4.016539390431617
0.1786666666666666,0.0040727272727272,1.75,0.5,5,voxelwise_rft,4.016539390431617
0.1813333333333333,0.015129476584022,1.75,0.75,5,voxelwise_rft,4.016539390431617
0.2066666666666666,0.0346380165289256,1.75,1.0,5,voxelwise_rft,4.016539390431617
0.176,0.063526170798898,1.75,1.25,5,voxelwise_rft,4.016539390431617
