fwer,sensitivity,sm_sigma,snr,n,method,distribution
0.025333333333333333,0.000743362831858407,0.0,1.75,5,Bonferroni,t
0.030666666666666665,0.0014159292035398228,0.0,2.0,5,Bonferroni,t
0.025333333333333333,0.002005899705014749,0.0,2.25,5,Bonferroni,t
0.028,0.0021710914454277285,0.0,2.5,5,Bonferroni,t
0.03333333333333333,0.003315634218289085,0.0,2.75,5,Bonferroni,t
0.030666666666666665,0.005439528023598819,0.0,3.0,5,Bonferroni,t
0.029333333333333333,1.1799410029498525e-05,0.1,0.0,5,Bonferroni,t
0.021333333333333333,1.1799410029498525e-05,0.1,0.1,5,Bonferroni,t
0.018666666666666668,0.0,0.1,0.25,5,Bonferroni,t
0.034666666666666665,4.71976401179941e-05,0.1,0.5,5,Bonferroni,t
0.014666666666666666,4.71976401179941e-05,0.1,0.75,5,Bonferroni,t
0.024,0.00010619469026548673,0.1,1.0,5,Bonferroni,t
0.029333333333333333,0.00016519174041297935,0.1,1.25,5,Bonferroni,t
0.02666666666666667,0.0003539823008849557,0.1,1.5,5,Bonferroni,t
0.032,0.0008495575221238938,0.1,1.75,5,Bonferroni,t
0.028,0.001262536873156342,0.1,2.0,5,Bonferroni,t
0.030666666666666665,0.0016519174041297934,0.1,2.25,5,Bonferroni,t
0.034666666666666665,0.002890855457227139,0.1,2.5,5,Bonferroni,t
0.036,0.003728613569321534,0.1,2.75,5,Bonferroni,t
0.02666666666666667,0.0045427728613569324,0.1,3.0,5,Bonferroni,t
0.032,0.0,0.25,0.0,5,Bonferroni,t
0.018666666666666668,1.1799410029498525e-05,0.25,0.1,5,Bonferroni,t
0.02666666666666667,1.1799410029498525e-05,0.25,0.25,5,Bonferroni,t
0.02,1.1799410029498525e-05,0.25,0.5,5,Bonferroni,t
0.03333333333333333,4.71976401179941e-05,0.25,0.75,5,Bonferroni,t
0.032,0.0001887905604719764,0.25,1.0,5,Bonferroni,t
0.02266666666666667,0.00027138643067846607,0.25,1.25,5,Bonferroni,t
0.016,0.000471976401179941,0.25,1.5,5,Bonferroni,t
0.010666666666666666,0.0006253687315634219,0.25,1.75,5,Bonferroni,t
0.030666666666666665,0.0013805309734513276,0.25,2.0,5,Bonferroni,t
0.02666666666666667,0.0017581120943952803,0.25,2.25,5,Bonferroni,t
0.024,0.002702064896755162,0.25,2.5,5,Bonferroni,t
0.034666666666666665,0.003728613569321534,0.25,2.75,5,Bonferroni,t
0.024,0.005297935103244837,0.25,3.0,5,Bonferroni,t
0.025333333333333333,1.5779092702169626e-05,0.5,0.0,5,Bonferroni,t
0.029333333333333333,1.5779092702169626e-05,0.5,0.1,5,Bonferroni,t
0.024,2.3668639053254438e-05,0.5,0.25,5,Bonferroni,t
0.028,5.522682445759369e-05,0.5,0.5,5,Bonferroni,t
0.02666666666666667,0.00010256410256410257,0.5,0.75,5,Bonferroni,t
