fwer,sensitivity,sm_sigma,snr,n,method,distribution
0.1,0.002559726962457338,1.25,1.25,5,Voxel-wise permutation,t
0.05,0.004095563139931741,1.25,1.5,5,Voxel-wise permutation,t
0.0,0.0056313993174061435,1.25,1.75,5,Voxel-wise permutation,t
0.0,0.008191126279863481,1.25,2.0,5,Voxel-wise permutation,t
0.05,0.034470989761092155,1.25,2.25,5,Voxel-wise permutation,t
0.05,0.030204778156996587,1.25,2.5,5,Voxel-wise permutation,t
0.05,0.045904436860068266,1.25,2.75,5,Voxel-wise permutation,t
0.1,0.0537542662116041,1.25,3.0,5,Voxel-wise permutation,t
0.1,0.0,1.5,0.0,5,Voxel-wise permutation,t
0.05,0.0,1.5,0.1,5,Voxel-wise permutation,t
0.1,0.0,1.5,0.25,5,Voxel-wise permutation,t
0.0,0.0001466275659824047,1.5,0.5,5,Voxel-wise permutation,t
0.0,0.0007331378299120235,1.5,0.75,5,Voxel-wise permutation,t
0.0,0.002785923753665689,1.5,1.0,5,Voxel-wise permutation,t
0.05,0.008357771260997068,1.5,1.25,5,Voxel-wise permutation,t
0.05,0.007624633431085043,1.5,1.5,5,Voxel-wise permutation,t
0.0,0.019501466275659823,1.5,1.75,5,Voxel-wise permutation,t
0.0,0.010410557184750733,1.5,2.0,5,Voxel-wise permutation,t
0.05,0.02624633431085044,1.5,2.25,5,Voxel-wise permutation,t
0.05,0.0346041055718475,1.5,2.5,5,Voxel-wise permutation,t
0.0,0.0653958944281525,1.5,2.75,5,Voxel-wise permutation,t
0.0,0.06275659824046921,1.5,3.0,5,Voxel-wise permutation,t
0.15,0.00012468827930174563,1.75,0.0,5,Voxel-wise permutation,t
0.05,0.0,1.75,0.1,5,Voxel-wise permutation,t
0.05,0.0,1.75,0.25,5,Voxel-wise permutation,t
0.0,0.0004987531172069825,1.75,0.5,5,Voxel-wise permutation,t
0.0,0.0014962593516209476,1.75,0.75,5,Voxel-wise permutation,t
0.1,0.006733167082294264,1.75,1.0,5,Voxel-wise permutation,t
0.0,0.011221945137157106,1.75,1.25,5,Voxel-wise permutation,t
0.0,0.012718204488778053,1.75,1.5,5,Voxel-wise permutation,t
0.05,0.016957605985037406,1.75,1.75,5,Voxel-wise permutation,t
0.0,0.011596009975062344,1.75,2.0,5,Voxel-wise permutation,t
0.0,0.026683291770573565,1.75,2.25,5,Voxel-wise permutation,t
0.05,0.03678304239401496,1.75,2.5,5,Voxel-wise permutation,t
0.05,0.06583541147132169,1.75,2.75,5,Voxel-wise permutation,t
0.05,0.04326683291770574,1.75,3.0,5,Voxel-wise permutation,t
0.05,0.0,2.0,0.0,5,Voxel-wise permutation,t
0.1,0.0,2.0,0.1,5,Voxel-wise permutation,t
0.1,0.0,2.0,0.25,5,Voxel-wise permutation,t
0.0,0.0003432494279176202,2.0,0.5,5,Voxel-wise permutation,t
0.05,0.0034324942791762016,2.0,0.75,5,Voxel-wise permutation,t
